common.name,species.name,1901,1911,1913,1914,1915,1916,1917,1918,1919,1921,1922,1935,1936,1937,1938,1939,1942,1943,1944,1945,1946,1947,1948,1949,1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
American Pipit,Anthus rubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,1,0,0,36,0,2,1,0,4,0,1,0,14,0,6,3,2,0,20,2,0,0,0,12,0,0,13,44,6,7,10,3,0,4,6,1,2,2,11,2,10,11,3,3,155,3,3,7,1,2,2,1,3,0,0,5,0,0,2,2,0,0
pipit sp.,Anthus sp.,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Egret,Ardea alba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,3,6,0,6,4,1,2,0,4,14,2,1,1,9,3,3,3,1,0,3,2,0
Great Blue Heron (Blue form),Ardea herodias,0,0,0,1,1,0,0,1,0,2,0,1,0,2,1,3,0,0,0,12,4,9,13,15,12,10,72,37,23,21,34,16,32,9,28,23,11,8,37,9,23,20,7,19,29,20,52,57,62,70,54,85,49,50,41,39,43,68,94,183,112,115,162,148,156,146,143,106,206,112,149,110,166,111,105,213,104,100,96,92,74,79,45,74,59,64,56,77,73,49,77,26,41
Short-eared Owl,Asio flammeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,9,11,1,0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-eared Owl,Asio otus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesser Scaup,Aythya affinis,0,0,18,0,0,1,6000,12,0,0,0,26,8,8,0,0,0,0,0,1,0,0,0,0,0,4,23,48,148,28,23,427,27,700,3022,150,4700,3800,450,160,15,0,0,12,230,0,29,63,52,165,233,13,4,83,871,4,88,8,1364,32,13,181,630,4,2,14,42,20,144,100,7,81,29,65,104,212,57,50,515,146,56,348,233,1004,102,1200,211,170,11,807,83,0,0
Redhead,Aythya americana,0,0,0,0,0,0,100,0,0,0,500,1,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,7,4,0,4,0,0,19,10,9,120,8,2,0,0,0,1,0,0,0,0,0,4,0,0,6,0,2,0,0,0,5,3,2,7,12,0,2,0,0,2,3,1,5,1,1,2,3,2,0,5,0,0,1,0,4,11,0,0,0,1,0,60,15,0,0
Ring-necked Duck,Aythya collaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,1,3,18,66,50,180,400,170,44,0,34,32,15,7,5,88,47,25,20,19,2,3,3,53,0,152,262,177,122,0,3,3,9,2,1,2,50,31,77,87,4,3,63,84,73,30,15,160,2,11,47,78,44,6,45,122,54,24,44,60,36,17
Greater Scaup,Aythya marila,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,0,24,1,0,3,500,1000,2,400,3800,450,1,0,0,0,0,1,2,1,4,4,1,4,6,1,0,4,0,4,0,213,1,2,1,13,1,1,1,10,5,11,41,0,2,3,3,16,3,5,5,2,0,0,0,1,0,0,0,0,0,0,6,1,1,0
Greater/Lesser Scaup,Aythya marila/affinis,0,0,0,0,0,0,0,0,3000,5000,15000,0,0,0,23,135,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2045,0,0,0,0,0,0,0,0,0,0,0,0,75,0,17,6,0,0,2,0,10,0,30,0,242,46,75,73,2,280,24,50,165,109,981,360,252,0,65,0,0,406,0,1,55,0,0,0,15,0,0,0,0,0,13,161,0,0,7
Canvasback,Aythya valisineria,0,0,0,0,0,0,500,0,32,50,5000,0,6,2,0,0,0,0,0,0,0,1,4,0,0,5,9,7,24,23,0,20,2,66,410,600,270,360,4,8,0,0,12,8,8,16,9,9,47,43,8,1,0,3,83,17,36,26,292,36,16,129,194,8,30,5,16,73,119,178,85,63,83,38,3,35,11,0,21,0,0,0,15,64,0,0,13,1,0,5,0,0,0
Tufted Titmouse,Baeolophus bicolor,20,3,11,8,26,7,12,30,26,10,6,33,7,30,26,11,5,7,17,227,196,292,294,288,220,328,502,513,528,291,363,413,475,245,372,330,410,330,300,350,230,240,200,420,290,228,365,415,328,232,360,440,481,420,676,637,486,583,543,597,522,428,502,239,644,484,539,938,479,489,590,412,713,631,536,268,186,228,321,455,396,459,238,542,680,618,630,453,436,300,467,113,411
Cedar Waxwing,Bombycilla cedrorum,0,0,0,1,0,0,0,0,0,0,0,8,0,0,20,0,6,0,0,9,24,33,14,45,50,20,48,76,66,4,98,8,47,7,44,48,110,150,200,34,160,120,28,100,54,189,146,597,182,220,214,440,143,449,495,1080,361,594,1967,146,285,102,67,43,752,136,74,180,356,152,325,414,457,78,372,782,274,63,357,94,231,273,18,165,926,692,163,68,688,680,104,170,592
American Bittern,Botaurus lentiginosus,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Brant,Branta bernicla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada Goose,Branta canadensis,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,6,0,14,1,55,2,0,10,0,15,6,1,49,0,1,1,0,28,16,101,26,1,19,72,183,3,51,180,463,25,132,186,849,538,848,1356,951,863,1013,1254,1980,1166,2507,1600,3132,2720,3685,8817,3095,4664,3928,5414,5756,5316,6260,6977,6233,6386,2846,3760,5828,6223,2560,5382,8104,4844,6902
Cackling Goose,Branta hutchinsii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,9,1,0,0,0,0,5
Snowy Owl,Bubo scandiacus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Great Horned Owl,Bubo virginianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,5,2,4,1,3,1,2,3,3,7,4,3,1,3,2,2,5,3,2,6,5,5,4,6,5,10,2,6,6,3,4,8,2,5,6,2,2,3,2,4,6,3,4,8,5,4,3,4,3,3,5,2,2,2,2,3,0,0,0,0,0,0,1,0,0,0,0
Bufflehead,Bucephala albeola,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,36,25,20,55,15,33,198,65,62,87,110,190,91,22,36,12,24,59,47,34,17,46,78,66,44,82,70,113,54,67,23,115,65,263,175,426,240,105,46,46,42,129,59,222,186,97,149,272,53,44,131,50,24,54,48,57,64,41,68,21,15,52,63,158,77,209,55,59
Common Goldeneye,Bucephala clangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,6,0,1,0,6,0,1,5,1,8,3,1,2,4,0,1,4,2,1,4,1,8,15,40,99,5,3,16,5,2,6,29,8,8,4,10,1,1,1,2,6,13,6,6,1,1,8,1,2,5,7,1,2,4,0,0,1,0,0,1,0,0,5,14,0,1
Common/Barrow's Goldeneye,Bucephala clangula/islandica,0,0,0,0,0,0,30,8,2000,6,500,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-tailed Hawk,Buteo jamaicensis,0,0,0,0,1,1,1,0,1,0,0,1,1,1,2,1,0,0,0,6,6,6,10,11,10,16,42,17,13,7,18,16,17,17,12,9,23,16,15,15,11,10,18,16,20,12,18,31,36,36,47,33,24,30,50,36,49,34,46,54,40,44,41,24,41,40,40,37,49,33,31,55,54,18,59,38,56,69,41,49,61,30,38,47,45,43,34,50,54,37,52,18,28
Red-tailed Hawk (abieticola),Buteo jamaicensis abieticola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rough-legged Hawk,Buteo lagopus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-shouldered Hawk,Buteo lineatus,0,0,4,4,2,2,1,2,1,1,2,0,2,0,0,0,0,0,0,6,3,8,11,10,11,19,29,20,19,7,24,15,14,15,15,11,15,13,10,4,4,4,8,9,6,4,15,10,10,22,14,10,17,7,17,18,19,8,13,24,20,11,8,3,12,13,16,24,15,18,26,13,22,10,19,19,22,32,23,38,39,35,16,52,31,50,33,44,36,21,38,12,34
Broad-winged Hawk,Buteo platypterus,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buteo sp.,Buteo sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,1,0,2,0,0,0,0
Green Heron,Butorides virescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lapland Longspur,Calcarius lapponicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanderling,Calidris alba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunlin,Calidris alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,1,9,0,2,1,0,0,0,0,0,0,4,7,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,6,4,2,0,6,0,2,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0
Western Sandpiper,Calidris mauri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pectoral Sandpiper,Calidris melanotos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Least Sandpiper,Calidris minutilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Semipalmated Sandpiper,Calidris pusilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
