Year,Participants,Hours
1913,1,
1919,3,
1920,3,
1921,3,
1922,3,
1923,1,
1924,1,
1925,2,
1926,4,
1927,4,
1928,6,
1930,2,
1931,2,
1932,2,
1934,2,
1935,2,
1936,2,
1937,1,
1939,2,8
1940,2,
1944,6,
1946,2,
1949,22,
1950,2,8
1952,5,23
1953,2,
1955,2,8
1956,4,25
1957,2,14
