common.name,species.name,1910,1912,1913,1914,1915,1916,1920,1922,1923,1924,1925,1928,1930,1931,1937,1938,1939,1940,1942,1943,1944,1945,1946,1947,1948,1949,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Lesser White-fronted Goose,Anser erythropus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Great Blue Heron (Blue form),Ardea herodias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,0,0,3,2,1,5,3,1,3,5,5,7,17,14,9,7
Short-eared Owl,Asio flammeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-eared Owl,Asio otus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesser Scaup,Aythya affinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,12,0,2,0,2,8,0,0,0,0,0,0,0,0,3,0
Redhead,Aythya americana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,2,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0
Ring-necked Duck,Aythya collaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,2,0,0
Greater Scaup,Aythya marila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Greater/Lesser Scaup,Aythya marila/affinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Canvasback,Aythya valisineria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,50,12,21,28,41,1,8,32,14,5,33,19,39,19,31,0,0,2,0,1,0,1,0,0
Tufted Titmouse,Baeolophus bicolor,4,2,25,20,12,8,9,25,14,12,15,15,14,11,71,49,55,37,79,63,48,63,34,57,86,46,65,73,45,73,114,106,142,226,272,160,330,220,440,410,460,440,620,800,660,795,829,859,569,485,916,972,1145,1044,862,801,705,574,756
Cedar Waxwing,Bombycilla cedrorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,20,71,68,29,85,63,60,31,9,190,66,120,97,195,144,44,236,139,386,249,258,844,281,271,79,1254
Ruffed Grouse,Bonasa umbellus,0,0,0,0,0,0,2,6,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,6,5,3,6,7,5,5,13,22,6,13,7,3,11,12,5,11,13,4,6,14,7,4,8,5,3
Canada Goose,Branta canadensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5,5,16,17,14,16,11,49,12,59,28,80,124,250,71,178,389,538,403,227,427
Snowy Owl,Bubo scandiacus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Horned Owl,Bubo virginianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,2,0,2,3,2,7,6,3,2,13,6,5,11,5,12,21,13,11,10,6,18
Bufflehead,Bucephala albeola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,5,10,3,2,13,20,1,11,59,6,3,2,1,4,1,7,4,2
Common Goldeneye,Bucephala clangula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,55,25,27,113,61,191,99,110,220,140,110,340,290,45,360,170,89,93,69,54,101,262,62,75,16,47,25,4,2,5,32
Red-tailed Hawk,Buteo jamaicensis,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,4,5,2,0,4,3,2,12,11,11,10,13,10,12,19,20,19,12,20,29,20,50,18,33,61,48,36,35,51,62
Rough-legged Hawk,Buteo lagopus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,1,0,0,1,1,0,1,0,0
Red-shouldered Hawk,Buteo lineatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,1,0,1,3,1,1,3,1,0,1,1,1,0,1,1,1,0,2,2,4
Broad-winged Hawk,Buteo platypterus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buteo sp.,Buteo sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,1,4,2,1,1
Lapland Longspur,Calcarius lapponicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Cardinal,Cardinalis cardinalis,2,2,16,35,23,9,9,13,9,12,75,5,27,39,156,182,232,70,102,64,68,67,38,84,99,117,162,160,152,109,191,207,221,319,457,330,540,470,580,740,800,660,900,1100,910,1258,1464,1368,1303,1342,991,1430,1437,1498,1074,1187,1186,976,1036
Hermit Thrush,Catharus guttatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,2,3,1,8,1,3,9,2,2
Gray-cheeked Thrush,Catharus minimus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
